,Unnamed: 0,date,open,high,low,close,volume,day,month,year,day_name,pattern,candle_color,abs_move,pct_move_day,pct_move_3d,pct_move_5d,flag_close_range,EMA_200,EMA_50,EMA_100,flag_above_200EMA,flag_above_50EMA,flag_above_100EMA,prev_close,opening_category,3m_high,3m_low,pts_from_3m_high,pts_from_3m_low,pct_from_3m_high,pct_from_3m_low,flag_all_time_high,flag_prev_at_all_time_high
0,0,2015-01-09,8285.45,8303.0,8191.1,8280.25,0,9,1,2015,Friday,Doji,Gray,111.89999999999964,1.3505603195963964,,,0,8280.25,8280.25,8280.25,0,0,0,,N/A,8303.0,8191.1,22.75,89.14999999999964,0.27399735035529327,1.0883764085409728,1,0
1,3,2015-01-12,8291.35,8332.25,8245.6,8326.55,0,12,1,2015,Monday,Bullish,Green,86.64999999999964,1.0450650376597252,,,0,8280.710696517413,8282.065686274509,8281.166831683167,1,1,1,8280.25,Flat,8332.25,8191.1,5.700000000000728,135.4499999999989,0.06840889315611903,1.6536240553771644,1,1
2,4,2015-01-13,8346.15,8356.65,8268.15,8303.8,0,13,1,2015,Tuesday,Bearish,Red,88.5,1.060369152243849,,,0,8280.940440830673,8282.91801230296,8281.615013233995,1,1,1,8326.55,Flat,8356.65,8191.1,52.850000000000364,112.69999999999891,0.6324304595741159,1.375883580959809,0,1
3,5,2015-01-14,8307.25,8326.3,8236.75,8287.75,0,14,1,2015,Wednesday,Bearish,Red,89.54999999999927,1.0779740588040478,0.0905769753328789,,0,8281.008197638328,8283.10750201657,8281.736498120452,1,1,1,8303.8,Flat,8356.65,8191.1,68.89999999999964,96.64999999999964,0.8244930683946275,1.1799392023049362,0,0
4,6,2015-01-15,8425.2,8526.9,8380.75,8461.15,0,15,1,2015,Thursday,Bullish,Green,146.14999999999964,1.7346769216160998,1.6165158438969263,,0,8282.80065338322,8290.089560761018,8285.289240731927,1,1,1,8287.75,Gap Up,8526.9,8191.1,65.75,270.0499999999993,0.771089141423026,3.296870994127764,1,0
5,10,2015-01-19,8553.4,8570.8,8531.7,8550.3,0,19,1,2015,Monday,Doji,Gray,39.099999999998545,0.4571281595622623,2.9685204364267026,3.2613749584855523,0,8285.462338424182,8300.293891711566,8290.536978539216,1,1,1,8461.15,Gap Up,8570.8,8191.1,20.5,359.1999999999989,0.23918420684183508,4.385247402668737,1,1
6,11,2015-01-20,8575.1,8707.75,8574.65,8691.25,0,20,1,2015,Tuesday,Bullish,Green,133.10000000000036,1.5521684878310498,4.868631413833668,4.37996529174749,0,8289.500026599066,8315.62550380131,8298.471889855271,1,1,1,8550.3,Flat,8707.75,8191.1,16.5,500.14999999999964,0.1894863770778904,6.106017506806163,1,1
7,12,2015-01-21,8719.65,8741.5,8689.7,8728.05,0,21,1,2015,Wednesday,Doji,Gray,51.79999999999927,0.5940605414208056,3.154417543714505,5.1091066740528435,0,8293.863707926439,8331.79901345616,8306.97838708586,1,1,1,8691.25,Flat,8741.5,8191.1,13.450000000000728,536.9499999999989,0.15386375336041558,6.555285614874667,1,1
8,13,2015-01-22,8745.85,8774.0,8727.15,8762.2,0,22,1,2015,Thursday,Bullish,Green,46.850000000000364,0.5356826380511942,2.478275616060266,5.724714186600721,0,8298.523770534137,8348.677483516703,8315.992676450496,1,1,1,8728.05,Flat,8774.0,8191.1,11.799999999999272,571.1000000000004,0.1344882607704499,6.972201535813265,1,1
9,14,2015-01-23,8827.95,8866.15,8795.6,8823.55,0,23,1,2015,Friday,Doji,Gray,70.54999999999927,0.7991662843581949,1.5222206241909841,4.283105724399161,0,8303.747912120862,8367.2999351435,8326.043316520783,1,1,1,8762.2,Gap Up,8866.15,8191.1,42.600000000000364,632.4499999999989,0.48047912566334167,7.721185188802466,1,1
10,18,2015-01-27,8871.35,8924.95,8825.55,8904.2,0,27,1,2015,Tuesday,Bullish,Green,99.40000000000146,1.1204608092342365,2.0182056702241713,4.139036057214374,0,8309.722559761449,8388.354839647676,8337.491963718392,1,1,1,8823.55,Gap Up,8924.95,8191.1,20.75,713.1000000000004,0.23249429968795343,8.705790431077636,1,1
11,19,2015-01-28,8902.75,8985.05,8874.2,8906.8,0,28,1,2015,Wednesday,Doji,Gray,110.84999999999854,1.2451208896127437,1.6502704800164247,2.4800805407737547,0,8315.66362881855,8408.686022406591,8348.765390179415,1,1,1,8904.2,Flat,8985.05,8191.1,78.25,715.6999999999989,0.8708910913127919,8.737532199582459,1,1
12,20,2015-01-29,8901.5,8966.2,8861.65,8950.2,0,29,1,2015,Thursday,Bullish,Green,104.55000000000109,1.1745211481211155,1.4353633174856162,2.54524206437865,0,8321.977423556673,8429.921864665157,8360.674986413485,1,1,1,8906.8,Flat,8985.05,8191.1,34.849999999998545,759.1000000000004,0.3878665115942432,9.26737556616328,1,1
13,21,2015-01-30,8996.6,8996.6,8775.6,8821.45,0,30,1,2015,Friday,Bearish,Red,221.0,2.4564835604561726,-0.9293367175041034,0.6762000410855729,0,8326.947299939193,8445.275909188093,8369.799244108268,1,1,1,8950.2,Gap Up,8996.6,8191.1,175.14999999999964,630.3500000000004,1.9468465864882247,7.695547606548575,0,1
14,24,2015-02-02,8802.5,8839.9,8751.45,8798.15,0,2,2,2015,Monday,Doji,Gray,88.44999999999891,1.0048281738142448,-1.219854493196204,-0.2878659949793416,0,8331.6358840194,8459.114108827775,8378.281437294243,1,1,1,8821.45,Flat,8996.6,8191.1,198.45000000000073,607.0499999999993,2.2058333148078244,7.411092527255183,0,0
15,25,2015-02-03,8823.15,8836.45,8726.65,8746.65,0,3,2,2015,Tuesday,Bearish,Red,109.80000000000109,1.244453511501007,-2.2742508547295204,-1.7693897261966351,0,8335.765377710752,8470.390026128647,8385.575864278517,1,1,1,8798.15,Flat,8996.6,8191.1,249.95000000000073,555.5499999999993,2.7782717915657105,6.7823613434093,0,0
16,26,2015-02-04,8789.15,8791.45,8704.7,8713.95,0,4,2,2015,Wednesday,Bearish,Red,86.75,0.9870123959654802,-1.21862052156958,-2.1651996227601167,0,8339.528408778307,8479.941397653014,8392.078322411615,1,1,1,8746.65,Gap Up,8996.6,8191.1,282.64999999999964,522.8500000000004,3.1417424360313855,6.383147562598435,0,0
17,27,2015-02-05,8733.1,8838.3,8683.95,8699.4,0,5,2,2015,Thursday,Shooting Star,Red,154.34999999999854,1.7674136331886563,-1.1223950489591572,-2.8021720185023913,0,8343.10922063126,8488.547617352897,8398.163900185642,1,1,1,8713.95,Flat,8996.6,8191.1,297.2000000000007,508.2999999999993,3.303470199853286,6.205515742696332,0,0
18,28,2015-02-06,8696.85,8725.8,8646.65,8666.0,0,6,2,2015,Friday,Bearish,Red,79.14999999999964,0.9100996337754432,-0.9220673057684925,-1.7621819542138817,0,8346.322064207068,8495.50653431945,8403.467585330482,1,1,1,8699.4,Flat,8996.6,8191.1,330.60000000000036,474.89999999999964,3.6747215614787847,5.797756101134153,0,0
19,31,2015-02-09,8584.4,8603.9,8516.35,8518.3,0,9,2,2015,Monday,Bearish,Red,87.54999999999927,1.0198732584688421,-2.2452504317789446,-3.1807823235566635,0,8348.03328744879,8496.400395718687,8405.741494531858,1,1,1,8666.0,LGap Down,8996.6,8191.1,478.3000000000011,327.1999999999989,5.316452882199954,3.9945794826091596,0,0
20,32,2015-02-10,8478.1,8646.15,8472.05,8578.85,0,10,2,2015,Tuesday,Bullish,Green,174.10000000000036,2.0535261438294,-1.3857277513391608,-1.9184487775319559,0,8350.329971155768,8499.63371353364,8409.169385729247,1,1,1,8518.3,Gap Down,8996.6,8191.1,417.75,387.75,4.6434208478758645,4.7337964375969035,0,0
21,33,2015-02-11,8603.3,8651.9,8594.05,8635.5,0,11,2,2015,Wednesday,Bullish,Green,57.850000000000364,0.6724163983587735,-0.3519501500115374,-0.9002805845799045,0,8353.167483880587,8504.961803198987,8413.651180071241,1,1,1,8578.85,Flat,8996.6,8191.1,361.10000000000036,444.39999999999964,4.013738523442193,5.425400739827369,0,0
22,34,2015-02-12,8676.95,8732.15,8599.4,8728.4,0,12,2,2015,Thursday,Bullish,Green,132.75,1.529915465687828,2.4664545742695276,0.333356323424594,0,8356.901140757396,8513.724085426478,8419.88382997082,1,1,1,8635.5,Gap Up,8996.6,8191.1,268.2000000000007,537.2999999999993,2.9811262032323405,6.559558545250324,0,0
23,35,2015-02-13,8741.5,8821.7,8730.0,8803.05,0,13,2,2015,Friday,Bullish,Green,91.70000000000073,1.049019047074309,2.6134038944613636,1.581467805215775,0,8361.340432889163,8525.07019972348,8427.471278882289,1,1,1,8728.4,Flat,8996.6,8191.1,193.5500000000011,611.9499999999989,2.151368294689117,7.4709135525143004,0,0
24,38,2015-02-16,8831.4,8869.95,8793.7,8808.7,0,16,2,2015,Monday,Bearish,Red,76.25,0.8633965169735263,2.005674251635692,3.4091309298803996,0,8365.79177186539,8536.192936989226,8435.020362468778,1,1,1,8803.05,Flat,8996.6,8191.1,187.89999999999964,617.6000000000004,2.088566791899158,7.539890857149838,0,0
25,40,2015-02-18,8811.55,8893.9,8810.05,8865.25,0,18,2,2015,Wednesday,Bullish,Green,83.85000000000036,0.9515919446635425,1.5678704000733346,3.3384427982771525,0,8370.76150547867,8549.097135538668,8443.539761231772,1,1,1,8808.7,Flat,8996.6,8191.1,131.35000000000036,674.1499999999996,1.4599959984883217,8.23027432213011,0,0
26,41,2015-02-19,8883.05,8913.45,8794.55,8898.35,0,19,2,2015,Thursday,Bullish,Green,118.90000000000146,1.3385042299660754,1.0825793332992717,3.043830698859362,0,8376.011142240077,8562.793326301857,8452.545904573717,1,1,1,8865.25,Flat,8996.6,8191.1,98.25,707.25,1.0920792299313073,8.63437145194174,0,0
27,42,2015-02-20,8895.5,8895.5,8816.5,8827.7,0,20,2,2015,Friday,Bearish,Red,79.0,0.8880894834466866,0.21569584615210857,1.1376655515329404,0,8380.5055587352,8573.181823309627,8459.974698542555,1,1,1,8898.35,Flat,8996.6,8191.1,168.89999999999964,636.6000000000004,1.8773758975612966,7.7718499346852115,0,0
28,45,2015-02-23,8856.85,8868.9,8737.25,8742.8,0,23,2,2015,Monday,Bearish,Red,131.64999999999964,1.486420115503815,-1.3812357237528605,-0.6844218765087118,0,8384.11047854878,8579.83351651317,8465.575199561514,1,1,1,8827.7,Flat,8996.6,8191.1,253.8000000000011,551.6999999999989,2.821065735944702,6.7353591092771286,0,0
29,46,2015-02-24,8772.9,8800.5,8727.25,8760.8,0,24,2,2015,Tuesday,Bearish,Red,73.25,0.8349576536835027,-1.5457921974298738,-0.5437805805624141,0,8387.858632991081,8586.930241355793,8471.421235213762,1,1,1,8742.8,Flat,8996.6,8191.1,235.8000000000011,569.6999999999989,2.6209901518351497,6.9551098143106405,0,0
30,47,2015-02-25,8802.65,8840.5,8751.65,8765.25,0,25,2,2015,Wednesday,Bearish,Red,88.85000000000036,1.0093551373734089,-0.7074322870056826,-1.1279997744000458,0,8391.61377097127,8593.923173067331,8477.239626595667,1,1,1,8760.8,Gap Up,8996.6,8191.1,231.35000000000036,574.1499999999996,2.5715270213191688,7.0094370719439345,0,0
31,48,2015-02-26,8779.0,8783.6,8669.85,8694.65,0,26,2,2015,Thursday,Bearish,Red,113.75,1.295705661237043,-0.55073889371825,-2.2891884450488065,0,8394.629056832253,8597.87324471175,8481.544782504663,1,1,1,8765.25,Flat,8996.6,8191.1,301.9500000000007,503.5499999999993,3.356267923437751,6.147525973312488,0,0
